,var,KS2samp_Fstat,KS2samp_pvalue,WassersteinDist,P,Q,n_clusters,pivotLength
212,PRICE,0.143869863014,2.60759195247e-144,11203.2757238,3.0,2.0,12.0,60.0
213,PRICE,0.169691780822,5.92491759093e-201,10461.8323408,3.0,2.0,12.0,73.0
214,PRICE,0.10303652968,4.56772106228e-74,5988.01823521,3.0,2.0,12.0,120.0
215,PRICE,0.169566210046,1.17830610763e-200,12582.9469415,3.0,2.0,16.0,24.0
216,PRICE,0.131232876712,4.71351441345e-120,6873.59671088,3.0,2.0,16.0,40.0
217,PRICE,0.124166666667,1.78144940417e-107,13757.1979546,3.0,2.0,16.0,60.0
218,PRICE,0.131221461187,4.9457650619e-120,8687.82834015,3.0,2.0,16.0,73.0
219,PRICE,0.122899543379,2.70117157043e-105,7254.15496065,3.0,2.0,16.0,120.0
220,PRICE,0.220673515982,0.0,13153.5743501,3.0,3.0,4.0,40.0
221,PRICE,0.221130136986,0.0,11765.0118243,3.0,3.0,4.0,60.0
222,PRICE,0.230867579909,0.0,13020.4557829,3.0,3.0,4.0,73.0
223,PRICE,0.233618721461,0.0,13069.5325652,3.0,3.0,4.0,120.0
224,PRICE,0.17200913242,1.66672656366e-206,10089.3250767,3.0,3.0,8.0,40.0
225,PRICE,0.168984018265,2.83530951622e-199,11478.8090945,3.0,3.0,8.0,60.0
226,PRICE,0.178470319635,2.17003497546e-222,9780.32146632,3.0,3.0,8.0,73.0
227,PRICE,0.205696347032,5.61409572383e-296,12051.0661225,3.0,3.0,8.0,120.0
228,PRICE,0.148059360731,7.47196020692e-153,7410.06083406,3.0,3.0,12.0,40.0
229,PRICE,0.134657534247,2.10574886227e-126,14885.0101236,3.0,3.0,12.0,60.0
230,PRICE,0.149155251142,3.9586659886e-155,8122.69378303,3.0,3.0,12.0,73.0
231,PRICE,0.164589041096,5.2865522513e-189,9307.32997974,3.0,3.0,12.0,120.0
232,PRICE,0.159406392694,3.00789263025e-177,10543.0789678,3.0,3.0,16.0,40.0
233,PRICE,0.143333333333,3.10621119465e-143,15515.5033887,3.0,3.0,16.0,60.0
234,PRICE,0.12696347032,2.27539723911e-112,7065.10291246,3.0,3.0,16.0,73.0
235,PRICE,0.121107305936,3.00172952143e-102,8219.70968982,3.0,3.0,16.0,120.0
